username,total_commits,total_additions,total_deletions,total_net_lines,repo_count,avg_additions_per_repo,avg_commits_per_repo,lines_per_commit
pohlposition,1,12,0,12,1,12.0,1.0,12.0
soup-in-boots,3,12,4,8,1,12.0,3.0,2.7
o0windseed0o,2,12,10,2,1,12.0,2.0,1.0
bartmichalak,2,12,0,12,3,4.0,0.7,6.0
itp-atakan,1,9,4,5,1,9.0,1.0,5.0
dmuylwyk,5,8,3,5,1,8.0,5.0,1.0
leej35,2,8,0,8,1,8.0,2.0,4.0
instaireland,1,8,3,5,1,8.0,1.0,5.0
robsdavis,2,7,1,6,1,7.0,2.0,3.0
jiho283,2,7,7,0,1,7.0,2.0,0.0
LucasDuval,2,7,0,7,1,7.0,2.0,3.5
zilliw,1,7,8,-1,1,7.0,1.0,-1.0
ssayer,2,6,1,5,1,6.0,2.0,2.5
gitpushpray1,1,6,2,4,1,6.0,1.0,4.0
au2,3,5,9,-4,1,5.0,3.0,-1.3
tnaumann,3,5,5,0,1,5.0,3.0,0.0
fiendish,1,5,0,5,1,5.0,1.0,5.0
matthewchung74,1,5,0,5,1,5.0,1.0,5.0
jamesburton,1,4,4,0,1,4.0,1.0,0.0
willseward,1,4,2,2,1,4.0,1.0,2.0
tomolopolis,1,4,0,4,1,4.0,1.0,4.0
bnurzhanov,1,3,6,-3,1,3.0,1.0,-3.0
wtroddy,1,3,3,0,1,3.0,1.0,0.0
dbabjaxy,1,3,0,3,1,3.0,1.0,3.0
imatiach-msft,1,3,0,3,1,3.0,1.0,3.0
ci-cd-fhir-user,1,2,0,2,1,2.0,1.0,2.0
unixoid,1,2,2,0,2,1.0,0.5,0.0
jorinvo,1,2,2,0,1,2.0,1.0,0.0
rfinz,1,2,2,0,1,2.0,1.0,0.0
platzhersh,1,2,1,1,1,2.0,1.0,1.0
goelalex,1,1,1,0,1,1.0,1.0,0.0
H3RSKO,1,1,1,0,1,1.0,1.0,0.0
vorband,1,1,1,0,1,1.0,1.0,0.0
Aditya-9716,1,1,0,1,1,1.0,1.0,1.0
ShaunDonn,1,1,1,0,1,1.0,1.0,0.0
ansh-srivastava,1,1,1,0,1,1.0,1.0,0.0
Zethson,1,1,1,0,2,0.0,0.5,0.0
nishanthpp93,0,0,0,0,1,0.0,0.0,
omarismail94,0,0,0,0,2,0.0,0.0,
onejune2018,0,0,0,0,1,0.0,0.0,
plynchnlm,0,0,0,0,4,0.0,0.0,
J3lly-sec,0,0,0,0,1,0.0,0.0,
pradeeban,0,0,0,0,1,0.0,0.0,
JPercival,0,0,0,0,4,0.0,0.0,
ongrid,0,0,0,0,1,0.0,0.0,
ppazos,0,0,0,0,1,0.0,0.0,
openhands-agent,0,0,0,0,1,0.0,0.0,
James-R-Jones,0,0,0,0,1,0.0,0.0,
nirmal070125,0,0,0,0,1,0.0,0.0,
openmrs-bot,0,0,0,0,1,0.0,0.0,
psobusiak,0,0,0,0,1,0.0,0.0,
opensource-emr,0,0,0,0,1,0.0,0.0,
nikit0ns,0,0,0,0,1,0.0,0.0,
privateOmega,0,0,0,0,1,0.0,0.0,
pnrobinson,0,0,0,0,1,0.0,0.0,
opiation,0,0,0,0,1,0.0,0.0,
night-chen,0,0,0,0,1,0.0,0.0,
JannisStraus,0,0,0,0,1,0.0,0.0,
HugoJBello,0,0,0,0,1,0.0,0.0,
p-hoffmann,0,0,0,0,1,0.0,0.0,
p12dpraneeth,0,0,0,0,1,0.0,0.0,
pabramowitsch,0,0,0,0,1,0.0,0.0,
packagr-io[bot],0,0,0,0,2,0.0,0.0,
pkarw,0,0,0,0,1,0.0,0.0,
